type,id,lang,english,gold_verdict,pred_verdict,confidence,n_runs_flagged,gold_fields,pred_fields
false_accept,u-wrong_period-53,hinglish,"1800 rupaye tak groceries ke liye ek baar mein approve karo bas Blinkit ya Zepto pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,period,
false_accept,u-widened_time_window-111,hinglish,"Roz utilities ka ₹2700 tak ka limit rakho kisi bhi store pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,time_window,
false_accept,u-overpermissive_merchants-55,hinglish,"Mujhe mahine ka entertainment ke liye ₹14,500 tak kharch karne do INOX pe, subah 6 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,merchants,
false_accept,u-overpermissive_merchants-12,hinglish,"Mujhe hafte ka online shopping aur education ke liye 13 hazaar tak kharch karne do bas Meesho ya Myntra pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,merchants,
false_accept,u-dropped_category-10,hinglish,"Mujhe roz rent, groceries ya hotels ke liye 5 hazaar rupaye tak kharch karne do kisi bhi store pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,categories,
false_accept,u-dropped_merchant-60,hinglish,"3600 rs tak pharmacy ke liye har din approve karo bas MedPlus ya PharmEasy pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,merchants,
false_accept,u-overpermissive_merchants-68,hinglish,"Groceries aur fuel pe ek transaction mein ₹700 tak allow karo bas Zepto pe, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,merchants,
false_accept,u-wrong_amount-94,hinglish,"8 hazaar tak dining ke liye har din approve karo, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,max_amount,
false_accept,u-dropped_merchant-101,hinglish,"Mobile recharge pe har din ₹4,700 tak allow karo Airtel ya Vi pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,merchants,
false_accept,u-dropped_category-16,hinglish,"4300 rupaye tak food delivery aur fuel ke liye roz approve karo Swiggy ya Zomato pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,categories,
false_accept,u-overpermissive_merchants-24,hinglish,"Weekly streaming ka ₹13500 tak ka limit rakho Netflix pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,merchants,
false_accept,u-overpermissive_merchants-2,hinglish,"Mujhe ek baar mein rent ke liye 5 hazaar tak kharch karne do sirf NestAway ya NoBroker pe, kisi bhi time.",NOT_FAITHFUL,FAITHFUL,0.99,0,merchants,
