type,id,lang,english,gold_verdict,pred_verdict,confidence,n_runs_flagged,gold_fields,pred_fields
false_accept,u-widened_time_window-110,hinglish,"₹85,500 tak hotels ke liye monthly approve karo sirf Taj pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-widened_time_window-111,hinglish,"Roz utilities ka ₹2700 tak ka limit rakho kisi bhi store pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-combined-51,hinglish,"Ride hailing ya gold pe har hafte ₹21,500 tak allow karo sirf Ola pe, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,period;time_window,
false_accept,u-overpermissive_merchants-12,hinglish,"Mujhe hafte ka online shopping aur education ke liye 13 hazaar tak kharch karne do bas Meesho ya Myntra pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-dropped_category-10,hinglish,"Mujhe roz rent, groceries ya hotels ke liye 5 hazaar rupaye tak kharch karne do kisi bhi store pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,categories,
false_accept,u-dropped_category-33,hinglish,"₹3,500 tak ride hailing aur dining ke liye ek transaction mein approve karo kahin bhi, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,categories,
false_accept,u-widened_time_window-83,hinglish,"Mujhe ek baar mein online shopping ke liye ₹2,800 tak kharch karne do sirf Amazon ya Myntra pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-dropped_merchant-60,hinglish,"3600 rs tak pharmacy ke liye har din approve karo bas MedPlus ya PharmEasy pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-widened_time_window-74,hinglish,"Din ka hotels aur travel ka ₹6100 tak ka limit rakho sirf Taj pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-dropped_category-57,hinglish,"Mujhe hafte ka electricity bill, pharmacy aur streaming ke liye 3000 rs tak kharch karne do kahin bhi, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,categories,
false_accept,u-dropped_merchant-101,hinglish,"Mobile recharge pe har din ₹4,700 tak allow karo Airtel ya Vi pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-dropped_category-16,hinglish,"4300 rupaye tak food delivery aur fuel ke liye roz approve karo Swiggy ya Zomato pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,categories,
false_accept,u-dropped_merchant-17,hinglish,"Education pe roz ₹9,100 tak allow karo bas Byjus aur Unacademy pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-widened_time_window-104,hinglish,"Mobile recharge aur education pe weekly $23500 tak allow karo sirf Airtel ya Jio pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-overpermissive_merchants-24,hinglish,"Weekly streaming ka ₹13500 tak ka limit rakho Netflix pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-overpermissive_merchants-42,hinglish,"Mujhe har mahine pharmacy ke liye 6000 dollar tak kharch karne do sirf MedPlus ya Tata1mg pe, 24 ghante.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-dropped_merchant-45,hinglish,"1500 rupaye tak streaming ya online shopping ke liye har transaction pe approve karo bas JioCinema aur Netflix pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-widened_time_window-65,hinglish,"₹7,500 tak ride hailing ke liye har mahine approve karo kahin bhi, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-overpermissive_merchants-2,hinglish,"Mujhe ek baar mein rent ke liye 5 hazaar tak kharch karne do sirf NestAway ya NoBroker pe, kisi bhi time.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-dropped_merchant-16,hinglish,"₹1,600 tak online shopping, mobile recharge ya education ke liye har din approve karo sirf Amazon aur Myntra pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-dropped_merchant-26,hinglish,"4200 rupaye tak travel ke liye din ka approve karo sirf Goibibo ya IRCTC pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-dropped_merchant-113,hinglish,"₹1,600 tak online shopping, mobile recharge ya education ke liye har din approve karo sirf Amazon aur Myntra pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-narrowed_time_window-78,hinglish,"Din ka online shopping ka ₹600 tak ka limit rakho Amazon pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-widened_time_window-3,hinglish,"₹5,000 tak travel ke liye har hafte approve karo kahin bhi, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-narrowed_time_window-101,hinglish,"Mujhe monthly streaming ya dining ke liye ₹90500 tak kharch karne do kahin bhi, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-widened_time_window-115,hinglish,"Mujhe monthly online shopping, gold ya entertainment ke liye 5500 rs tak kharch karne do kahin bhi, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-dropped_category-83,hinglish,"Har hafte pharmacy ya entertainment ka ₹25500 tak ka limit rakho sirf Apollo aur MedPlus pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,categories,
false_accept,u-dropped_category-21,hinglish,"Mujhe hafte ka hotels ya food delivery ke liye ₹18500 tak kharch karne do kisi bhi merchant pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,categories,
false_accept,u-overpermissive_merchants-38,hinglish,"Metro pe din ka $6700 tak allow karo sirf DMRC pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-widened_time_window-27,hinglish,"Mujhe har din utilities aur online shopping ke liye ₹3800 tak kharch karne do kisi bhi store pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-widened_time_window-99,hinglish,"Mujhe ek baar mein streaming ke liye $2400 tak kharch karne do kisi bhi store pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-wrong_period-71,hinglish,"3500 dollar tak education ke liye har hafte approve karo Byjus ya Unacademy pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,period,
false_accept,u-narrowed_time_window-38,hinglish,"₹2100 tak mobile recharge ke liye har transaction pe approve karo kahin bhi, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-widened_time_window-51,hinglish,"Fuel pe har transaction pe ₹4,000 tak allow karo kahin bhi, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-dropped_category-85,hinglish,"Travel ya hotels pe har din ₹8,900 tak allow karo sirf Goibibo pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,categories,
false_accept,u-overpermissive_merchants-80,hinglish,"Daily metro ka ₹2,600 tak ka limit rakho bas DMRC ya Namma Metro pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-dropped_merchant-98,hinglish,"Groceries pe har transaction pe $4500 tak allow karo sirf BigBasket aur DMart pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-overpermissive_merchants-107,hinglish,"Weekly metro ya streaming ka 18500 rs tak ka limit rakho sirf DMRC aur Namma Metro pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-overpermissive_merchants-14,hinglish,"Monthly online shopping, rent ya mobile recharge ka ₹50,500 tak ka limit rakho sirf Amazon aur Flipkart pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,merchants,
false_accept,u-widened_time_window-64,hinglish,"Mujhe ek baar mein food delivery ke liye $1500 tak kharch karne do Swiggy aur Zomato pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-widened_time_window-89,hinglish,"Metro, pharmacy aur online shopping pe din ka $6300 tak allow karo sirf Namma Metro pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-dropped_category-22,hinglish,"Education aur ride hailing pe monthly 19000 dollar tak allow karo Byjus pe, 24 ghante.",NOT_FAITHFUL,FAITHFUL,1.0,0,categories,
false_accept,u-dropped_category-52,hinglish,"1900 dollar tak streaming ya education ke liye ek baar mein approve karo JioCinema aur Netflix pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,categories,
false_accept,u-wrong_period-58,hinglish,"₹2800 tak electricity bill ke liye har transaction pe approve karo kisi bhi merchant pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,period,
false_accept,u-dropped_category-103,hinglish,"Mujhe weekly hotels ya travel ke liye $21500 tak kharch karne do bas Marriott pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,categories,
false_accept,u-widened_time_window-80,hinglish,"Mujhe ek baar mein travel ke liye 3000 rupaye tak kharch karne do Cleartrip ya IRCTC pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,time_window,
false_accept,u-dropped_category-17,hinglish,"Hotels, pharmacy ya gold pe har din 3100 rupaye tak allow karo kisi bhi store pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,1.0,0,categories,
